EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMSMUENSTER (TAWES), AUSTRIA (STAID: 11)
Blended and updated with sources:32859 125514 136486 911012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
    11,136486,18740101,   96,    0
    11,136486,18740102,   98,    0
    11,136486,18740103,   93,    0
    11,136486,18740104,   97,    0
    11,136486,18740105,   87,    0
    11,136486,18740106,   96,    0
    11,136486,18740107,   96,    0
    11,136486,18740108,  100,    0
    11,136486,18740109,  100,    0
    11,136486,18740110,  100,    0
    11,136486,18740111,  100,    0
    11,136486,18740112,  100,    0
    11,136486,18740113,   87,    0
    11,136486,18740114,   87,    0
    11,136486,18740115,   98,    0
    11,136486,18740116,  100,    0
    11,136486,18740117,  100,    0
    11,136486,18740118,  100,    0
    11,136486,18740119,   95,    0
    11,136486,18740120,   99,    0
    11,136486,18740121,   94,    0
    11,136486,18740122,   99,    0
    11,136486,18740123,  100,    0
    11,136486,18740124,   96,    0
    11,136486,18740125,   99,    0
    11,136486,18740126,   93,    0
    11,136486,18740127,   84,    0
    11,136486,18740128,   84,    0
    11,136486,18740129,   91,    0
    11,136486,18740130,   91,    0
    11,136486,18740131,   97,    0
    11,136486,18740201,   93,    0
    11,136486,18740202,   94,    0
    11,136486,18740203,  100,    0
    11,136486,18740204,  100,    0
    11,136486,18740205,   97,    0
    11,136486,18740206,   87,    0
