EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMSMUENSTER (TAWES), AUSTRIA (STAID: 11)
Blended and updated with sources:125521 136493 136678 911012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
    11,136493,18740101,    2,    0
    11,136493,18740102,    6,    0
    11,136493,18740103,   15,    0
    11,136493,18740104,   10,    0
    11,136493,18740105,   15,    0
    11,136493,18740106,   10,    0
    11,136493,18740107,   38,    0
    11,136493,18740108,    2,    0
    11,136493,18740109,   21,    0
    11,136493,18740110,   26,    0
    11,136493,18740111,    0,    0
    11,136493,18740112,    0,    0
    11,136493,18740113,   21,    0
    11,136493,18740114,   52,    0
    11,136493,18740115,   10,    0
    11,136493,18740116,    2,    0
    11,136493,18740117,    0,    0
    11,136493,18740118,    6,    0
    11,136493,18740119,    2,    0
    11,136493,18740120,    6,    0
    11,136493,18740121,   21,    0
    11,136493,18740122,   10,    0
    11,136493,18740123,    6,    0
    11,136493,18740124,   10,    0
    11,136493,18740125,   32,    0
    11,136493,18740126,   32,    0
    11,136493,18740127,  153,    0
    11,136493,18740128,   92,    0
    11,136493,18740129,   32,    0
    11,136493,18740130,   45,    0
    11,136493,18740131,   75,    0
    11,136493,18740201,   75,    0
    11,136493,18740202,   15,    0
    11,136493,18740203,   10,    0
    11,136493,18740204,   38,    0
    11,136493,18740205,   38,    0
    11,136493,18740206,   52,    0
    11,136493,18740207,    6,    0
    11,136493,18740208,  111,    0
    11,136493,18740209,  200,    0
    11,136493,18740210,   67,    0
    11,136493,18740211,    6,    0
    11,136493,18740212,    0,    0
    11,136493,18740213,    0,    0
    11,136493,18740214,    0,    0
    11,136493,18740215,   10,    0
    11,136493,18740216,    0,    0
    11,136493,18740217,    0,    0
    11,136493,18740218,   15,    0
    11,136493,18740219,    0,    0
    11,136493,18740220,    6,    0
    11,136493,18740221,    0,    0
    11,136493,18740222,    0,    0
    11,136493,18740223,    2,    0
    11,136493,18740224,    6,    0
    11,136493,18740225,    2,    0
    11,136493,18740226,    0,    0
    11,136493,18740227,   38,    0
    11,136493,18740228,   59,    0
    11,136493,18740301,   52,    0
    11,136493,18740302,   38,    0
    11,136493,18740303,   75,    0
    11,136493,18740304,    6,    0
    11,136493,18740305,    6,    0
    11,136493,18740306,   10,    0
    11,136493,18740307,   21,    0
    11,136493,18740308,    6,    0
    11,136493,18740309,    2,    0
    11,136493,18740310,   26,    0
    11,136493,18740311,   32,    0
    11,136493,18740312,   26,    0
    11,136493,18740313,   21,    0
    11,136493,18740314,  111,    0
    11,136493,18740315,  121,    0
