EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMSMUENSTER (TAWES), AUSTRIA (STAID: 11)
Blended and updated with sources:2148 125512 136484 911012 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
    11,136484,18740101,10282,    0
    11,136484,18740102,10294,    0
    11,136484,18740103,10212,    0
    11,136484,18740104,10170,    0
    11,136484,18740105,10213,    0
    11,136484,18740106,10267,    0
    11,136484,18740107,10294,    0
    11,136484,18740108,10281,    0
    11,136484,18740109,10288,    0
    11,136484,18740110,10286,    0
    11,136484,18740111,10241,    0
    11,136484,18740112,10218,    0
    11,136484,18740113,10223,    0
    11,136484,18740114,10227,    0
    11,136484,18740115,10247,    0
    11,136484,18740116,10180,    0
    11,136484,18740117,10116,    0
    11,136484,18740118,10189,    0
    11,136484,18740119,10193,    0
    11,136484,18740120,10226,    0
    11,136484,18740121,10277,    0
    11,136484,18740122,10343,    0
    11,136484,18740123,10327,    0
    11,136484,18740124,10271,    0
    11,136484,18740125,10287,    0
    11,136484,18740126,10324,    0
    11,136484,18740127,10191,    0
    11,136484,18740128,10241,    0
    11,136484,18740129,10288,    0
    11,136484,18740130,10240,    0
    11,136484,18740131,10234,    0
    11,136484,18740201,10207,    0
    11,136484,18740202,10274,    0
    11,136484,18740203,10260,    0
    11,136484,18740204,10313,    0
    11,136484,18740205,10339,    0
    11,136484,18740206,10320,    0
    11,136484,18740207,10256,    0
    11,136484,18740208,10133,    0
    11,136484,18740209,10144,    0
    11,136484,18740210,10249,    0
    11,136484,18740211,10366,    0
    11,136484,18740212,10337,    0
    11,136484,18740213,10325,    0
    11,136484,18740214,10267,    0
    11,136484,18740215,10187,    0
    11,136484,18740216,10140,    0
    11,136484,18740217,10067,    0
    11,136484,18740218,10078,    0
    11,136484,18740219,10133,    0
    11,136484,18740220,10193,    0
    11,136484,18740221,10191,    0
    11,136484,18740222,10163,    0
    11,136484,18740223,10185,    0
    11,136484,18740224,10198,    0
    11,136484,18740225,10158,    0
    11,136484,18740226,10137,    0
    11,136484,18740227,10103,    0
    11,136484,18740228,10164,    0
    11,136484,18740301,10242,    0
    11,136484,18740302,10314,    0
    11,136484,18740303,10348,    0
    11,136484,18740304,10356,    0
    11,136484,18740305,10346,    0
    11,136484,18740306,10334,    0
    11,136484,18740307,10298,    0
    11,136484,18740308,10212,    0
    11,136484,18740309,10138,    0
    11,136484,18740310,10048,    0
    11,136484,18740311,10081,    0
    11,136484,18740312,10195,    0
    11,136484,18740313,10263,    0
    11,136484,18740314,10292,    0
    11,136484,18740315,10202,    0
    11,136484,18740316,10280,    0
    11,136484,18740317,10281,    0
    11,136484,18740318,10206,    0
    11,136484,18740319,10169,    0
    11,136484,18740320,10095,    0
    11,136484,18740321,10242,    0
    11,136484,18740322,10284,    0
    11,136484,18740323,10267,    0
    11,136484,18740324,10275,    0
    11,136484,18740325,10236,    0
    11,136484,18740326,10267,    0
    11,136484,18740327,10252,    0
    11,136484,18740328,10219,    0
    11,136484,18740329,10231,    0
    11,136484,18740330,10197,    0
    11,136484,18740331,10204,    0
    11,136484,18740401,10203,    0
    11,136484,18740402,10194,    0
    11,136484,18740403,10095,    0
    11,136484,18740404,10100,    0
    11,136484,18740405,10058,    0
    11,136484,18740406,10093,    0
    11,136484,18740407,10168,    0
    11,136484,18740408,10164,    0
    11,136484,18740409,10114,    0
    11,136484,18740410,10047,    0
    11,136484,18740411, 9982,    0
    11,136484,18740412, 9977,    0
    11,136484,18740413,10026,    0
    11,136484,18740414, 9948,    0
    11,136484,18740415,10043,    0
    11,136484,18740416,10091,    0
    11,136484,18740417,10153,    0
    11,136484,18740418,10197,    0
    11,136484,18740419,10232,    0
    11,136484,18740420,10239,    0
    11,136484,18740421,10236,    0
    11,136484,18740422,10225,    0
    11,136484,18740423,10229,    0
    11,136484,18740424,10232,    0
    11,136484,18740425,10217,    0
    11,136484,18740426,10215,    0
    11,136484,18740427,10211,    0
    11,136484,18740428,10248,    0
    11,136484,18740429,10243,    0
    11,136484,18740430,10137,    0
    11,136484,18740501,10067,    0
    11,136484,18740502,10112,    0
